Unnamed: 0,acc_max,gyro_max,acc_kurtosis,gyro_kurtosis,label,lin_max,acc_skewness,gyro_skewness,post_gyro_max,post_lin_max,fall
0,27.55506097,4.430997944,16.75401756,7.102859064,FOL,13.90550566,3.553408753,2.521594873,4.162361489,13.47154406,1
1,23.05653466,3.76786129,5.734690121,5.847727911,FOL,4.744647709,1.702248399,2.451090033,3.719469736,4.680590413,1
2,26.0534191,5.844412525,16.94083255,6.327053315,FOL,10.68289686,2.848384499,2.657147215,5.752108687,10.42419555,1
3,23.99021503,5.11593507,12.42771205,6.303122743,FOL,11.32194523,3.190447376,2.407994906,5.061786421,11.23983278,1
4,26.47353236,5.833688362,22.01548439,5.586877084,FOL,9.53474066,3.491954944,2.48376165,5.742074358,9.392854532,1
5,23.01831394,4.271134852,10.24508236,4.46853541,FOL,8.122236985,2.088384429,2.180100585,4.211971522,7.988231068,1
6,27.26451603,7.598489897,10.83851071,7.995928428,FOL,11.02774934,2.498706329,2.732486538,7.556007306,10.94797259,1
7,27.10552529,4.807506922,13.65491024,4.86923834,FOL,8.001343534,2.643060472,2.206962881,4.695695635,7.813437949,1
8,29.04897641,7.451981034,9.206189318,5.756280654,FOL,13.86184961,2.641927476,2.484040325,7.364419835,13.73513337,1
10,29.06650897,5.778197964,13.91250195,4.1903611,FOL,10.72652192,3.079214558,2.186982856,5.21130827,9.893304327,1
12,26.62831812,5.125664448,12.44273096,5.411783765,FOL,9.224688338,2.944054518,2.282102916,4.981223235,8.988153438,1
13,21.66117367,7.362573754,9.541648522,8.08857891,FOL,7.487035271,1.699307914,2.852671691,6.9702173,6.81239314,1
14,30.64770532,11.6948685,23.60876366,9.287735385,FOL,15.22830331,3.921536722,2.794609395,11.54997074,14.94415127,1
15,27.01628758,8.928419057,14.84634083,12.03432724,FOL,13.79465663,2.849041079,3.214492684,8.823375983,13.47440725,1
16,31.1285554,10.521878,23.3334502,11.80058431,FOL,10.8498674,3.895599646,3.15669394,10.39445254,10.5878509,1
17,25.23763999,7.369693102,13.8710683,10.67797417,FOL,13.46438079,2.664016266,3.148937313,7.25808892,13.15560007,1
18,28.36996138,10.01421814,27.68001668,20.68642913,FOL,11.29101593,3.87306625,4.027280136,9.877822386,11.12753466,1
20,26.70749026,7.832914027,9.863000642,7.664264593,FOL,11.93828998,2.344140591,2.758798113,7.790691349,11.84359155,1
21,22.07618753,6.50898777,13.24253452,12.05556506,FOL,8.826240733,2.027528461,3.084682393,6.232845939,8.319954037,1
22,23.4565344,7.064112364,9.884005327,9.324264429,FOL,7.733100511,2.043900308,2.691558709,6.80937112,7.502393425,1
24,26.30469799,4.652011674,17.32035137,8.666952401,FOL,9.516579575,3.396785734,2.921161053,4.557209401,9.242105483,1
25,26.14643003,10.58229315,18.46373201,22.37866887,FOL,12.65549705,3.474497927,3.942889692,10.51145516,12.53907148,1
26,21.83863924,4.900755196,8.679394762,6.393943327,FOL,6.918279012,1.845793329,2.557043799,4.847739976,6.837128482,1
27,26.87759991,10.32862705,9.238086291,12.24885853,FOL,10.57079554,2.686555465,3.175983855,9.839436503,9.818579485,1
29,28.7297924,6.16139706,20.01941626,11.45801203,FOL,10.52688684,3.505507484,2.957113044,6.074553698,10.28606872,1
30,30.28117493,7.103456348,17.13582761,6.469139891,FOL,12.20144029,3.545969995,2.434914529,6.96588243,12.00267599,1
31,28.10141088,6.64921262,15.23382513,6.71859753,FOL,13.78015637,3.249706991,2.66802333,6.598700677,13.70918488,1
33,28.24372428,13.75929799,21.42177041,19.54601688,FOL,13.10058182,3.196837153,3.986588551,13.60983873,12.94103132,1
34,22.69096478,2.37732669,20.97452345,3.154582695,FOL,6.299035567,3.574338477,1.88825124,2.332593584,6.224063546,1
